# Etrue_lo Etrue_hi Ereco_lo Ereco_hi P(Ereco|Etrue)
1.25892541e+06 1.77827941e+06 1.25892541e+06 1.77827941e+06 2.91592287e-01
1.25892541e+06 1.77827941e+06 1.77827941e+06 2.51188643e+06 6.46301693e-02
1.25892541e+06 1.77827941e+06 2.51188643e+06 3.54813389e+06 1.65572782e-03
1.25892541e+06 1.77827941e+06 3.54813389e+06 5.01187234e+06 1.32082225e-04
1.25892541e+06 1.77827941e+06 5.01187234e+06 7.07945784e+06 1.18083039e-04
1.25892541e+06 1.77827941e+06 7.07945784e+06 1.00000000e+07 2.84870192e-05
1.77827941e+06 2.51188643e+06 1.00000000e+04 1.41253754e+04 4.29536051e-04
1.77827941e+06 2.51188643e+06 1.41253754e+04 1.99526231e+04 6.98841841e-05
1.77827941e+06 2.51188643e+06 1.99526231e+04 2.81838293e+04 5.21741340e-04
1.77827941e+06 2.51188643e+06 2.81838293e+04 3.98107171e+04 1.93584988e-03
1.77827941e+06 2.51188643e+06 3.98107171e+04 5.62341325e+04 4.58222164e-03
1.77827941e+06 2.51188643e+06 5.62341325e+04 7.94328235e+04 9.93558422e-03
